DATE,Month,PRCP,TMAX,TMIN,AWND,TDIFF,WSF2,WSF5,intense,count of dry days,count of wet days
2017-02-10,2,0.4806060606060606,31.846153846153847,17.142857142857142,11.32375,14.703296703296704,21.95,31.4,0,0,4
2017-02-11,2,0.00013513513513513514,43.69230769230769,26.615384615384617,4.2225,17.076923076923077,13.075,17.0,0,0,5
2017-02-12,2,0.12051948051948051,40.92857142857143,30.53846153846154,8.248750000000001,10.39010989010989,17.4125,22.2,0,0,6
2017-02-13,2,0.3811392405063291,38.46153846153846,29.214285714285715,20.635,9.247252747252745,37.7875,56.0125,0,0,7
2017-02-14,2,0.0,39.07692307692308,25.46153846153846,7.1587499999999995,13.61538461538462,17.1125,23.2625,0,1,0
2017-02-15,2,0.0014814814814814816,45.30769230769231,28.615384615384617,7.605,16.69230769230769,25.525,35.6125,0,0,1
2017-02-16,2,0.007250000000000001,41.42857142857143,27.428571428571427,17.9525,14.000000000000004,26.875,37.0875,0,0,2
2017-02-17,2,0.0,39.42857142857143,25.357142857142858,11.88375,14.071428571428573,21.3625,29.2625,0,1,0
2017-02-18,2,0.0,56.69230769230769,28.076923076923077,6.515,28.615384615384617,17.5,23.375,0,2,0
2017-02-19,2,0.0,64.92307692307692,40.30769230769231,7.97,24.615384615384613,19.4125,25.775,0,3,0
2017-02-20,2,0.0,58.0,37.15384615384615,10.0375,20.846153846153847,20.625,27.025,0,4,0
2017-02-21,2,0.0,49.61538461538461,30.076923076923077,6.48625,19.538461538461537,13.825,20.150000000000002,0,5,0
2017-02-22,2,0.0,52.30769230769231,37.30769230769231,4.25125,15.0,10.3,14.742857142857144,0,6,0
2017-02-23,2,0.000853658536585366,61.0,38.92307692307692,4.64,22.07692307692308,14.1875,18.975,0,0,1
2017-02-24,2,0.0,67.84615384615384,45.23076923076923,7.85625,22.615384615384606,19.2875,25.125,0,1,0
2017-02-25,2,0.06658536585365854,66.61538461538461,44.46153846153846,9.872499999999999,22.153846153846153,25.1125,33.25,0,0,1
2017-02-26,2,0.3544318181818182,51.23076923076923,33.69230769230769,13.98,17.53846153846154,25.025,34.6625,0,0,2
2017-02-27,2,0.0,48.857142857142854,29.928571428571427,7.85625,18.928571428571427,19.0875,26.5125,0,1,0
2017-02-28,2,0.00023529411764705883,55.714285714285715,37.57142857142857,5.005,18.142857142857146,13.325,19.375,0,0,1
2017-03-01,3,0.034,64.21428571428571,47.23076923076923,8.695,16.983516483516475,21.775,31.9125,0,0,2
2017-03-02,3,0.13378048780487806,64.75,38.833333333333336,19.76875,25.916666666666664,36.4875,51.6375,0,0,3
2017-03-03,3,0.0,42.69230769230769,25.53846153846154,14.315,17.153846153846153,27.925,38.8875,0,1,0
2017-03-04,3,0.0002631578947368421,33.5,17.25,16.552500000000002,16.25,29.9,39.7125,0,0,1
2017-03-05,3,0.0,34.416666666666664,13.75,10.59875,20.666666666666664,21.25,28.9125,0,1,0
2017-03-06,3,0.0,41.30769230769231,18.46153846153846,5.81625,22.846153846153847,13.6875,17.525,0,2,0
2017-03-07,3,0.0348780487804878,50.61538461538461,33.38461538461539,6.03875,17.230769230769226,14.7375,20.1125,0,0,1
2017-03-08,3,0.12132530120481928,58.666666666666664,45.0,12.30375,13.666666666666664,27.625,37.4875,0,0,2
2017-03-09,3,0.0016455696202531645,60.92307692307692,46.15384615384615,14.95875,14.769230769230766,29.8125,40.975,0,0,3
2017-03-10,3,0.06283783783783785,51.333333333333336,25.76923076923077,13.5625,25.564102564102566,29.275,40.15,0,0,4
2017-03-11,3,0.19606060606060605,31.0,17.083333333333332,16.05125,13.916666666666668,28.837500000000002,39.6125,0,0,5
2017-03-12,3,0.00295774647887324,29.916666666666668,18.416666666666668,14.7925,11.5,24.85,34.3875,0,0,6
2017-03-13,3,0.0,33.84615384615385,17.076923076923077,6.8774999999999995,16.76923076923077,16.8,21.9875,0,1,0
